KOPR;NOKOPR;UD01PR;UD02PR;KOSU;KOBO;DATOSUBIC;STFI1;STDV1;STOCNV1;STDV1C;STOCNV1C;RECENOFAC1;DESPNOFAC1;STFI2;STDV2;STOCNV2;STDV2C;STOCNV2C;RECENOFAC2;DESPNOFAC2;RLUD;FMPR;PFPR;HFPR;RUPR;MRPR
PCA960ECOPRC1;ESMALTE AL AGUA COPPER C/COBRE 960 ROJO COLONIAL G;GL;GL;006;007;;3,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0002;;
PCA960ECOPRC1;ESMALTE AL AGUA COPPER C/COBRE 960 ROJO COLONIAL G;GL;GL;004;013;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0002;;
PCA960ECOPRC1;ESMALTE AL AGUA COPPER C/COBRE 960 ROJO COLONIAL G;GL;GL;004;006;;14,00;0,00;0,00;0,00;0,00;0,00;1,00;14,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;003;0001;0002;;
PCA960ECOPVM1;ESMALTE AL AGUA COPPER C/COBRE 960 VERDE MUSGO GL;GL;GL;006;007;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;003;0001;0002;;
PCA960GRISGR6;ESMALTE AL AGUA COPPER 960 GRIS GRAFITO 4 GALONES.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCA960GRISGR6;ESMALTE AL AGUA COPPER 960 GRIS GRAFITO 4 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0001;0002;;
PCA960SW70245;ESMALTE AL AGUA COPPER SW-7024 5 GALONES;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
PCA960SW70245;ESMALTE AL AGUA COPPER SW-7024 5 GALONES;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
PCA960SW70435;ESMALTE AL AGUA COPPER 960 SW-7043 5 GALONES.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
PCA960SW70435;ESMALTE AL AGUA COPPER 960 SW-7043 5 GALONES.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;003;0001;0002;;
PCA980ECOVGR6;ECOVIT PLUS PISOS Y DEMARCACION GRIS 4 GALONES;GL;BD;004;006;;16,00;0,00;28,00;0,00;0,00;0,00;8,00;4,00;0,00;7,00;0,00;0,00;0,00;2,00;4,00;003;;;;
PCA980ECOVGR6;ECOVIT PLUS PISOS Y DEMARCACION GRIS 4 GALONES;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;;;;
PCABAEPOXTCA6;BARNIZ EPOXYCOPPER TONO COBRE COMPONENTE A BD.;GL;BD;004;017;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0005;0003;;
PCABAEPOXTCA6;BARNIZ EPOXYCOPPER TONO COBRE COMPONENTE A BD.;GL;BD;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;003;0005;0003;;
PCACUBARNIB02;BARNIZ EPOXYCOPPER COMPONENTE B 1/4;GL;04;004;006;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;003;0001;;;
PCACUBARNIB02;BARNIZ EPOXYCOPPER COMPONENTE B 1/4;GL;04;004;015;;7,75;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,25;003;0001;;;
SSB0022300;BARNIZ POLIULACK BRILLANTE 1/4;04;04;001;002;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;001;;;;
