KOPR;KOSU;KOBO;NOKOPR;UD01PR;UD02PR;PM;PMIFRS;TIMOUL;PPUL01;PPUL02;TAUL;VALI;PMIN;FMPR;PFPR;HFPR;MRPR;RUPR;ULT_COMPRA;ULT_VENTA;STFI;VALSTOCK;PRMEDIO;UNIDAD;
"EE-34";"004";"004";"GALON LIT. BARNIZ MARINO";"UN";"UN";        1388.00000;        1388.00000;"N";        1388.00000;        1388.00000;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";         774.00000;     1074312.00000;        1388.00000;"UN";
"GRAN000PISOGR";"004";"010";"PINTURA PARA PISO GRIS CLARO GRANEL";"KG";"KG";        3053.10138;        3053.10138;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0002";"0004";"";"";"/  /";"/  /";         239.32000;      730668.22226;        3053.10138;"KG";
"GRAN25EIFBASI";"004";"010";"TEXTU EIFS G-25 BASE INCOLORA GRANEL";"KG";"KG";         518.39697;         518.39697;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00500;           2.59199;         518.39697;"KG";
"L103";"004";"004";"COLANYL AMARILLO OXIDO R 33-CL";"KG";"KG";        3002.88299;        3002.88299;"N";        3087.24400;        3087.24400;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00380;          11.41096;        3002.88299;"KG";
"L103";"004";"010";"COLANYL AMARILLO OXIDO R 33-CL";"KG";"KG";        3002.88299;        3002.88299;"N";        3087.24400;        3087.24400;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";           0.00195;           5.85562;        3002.88299;"KG";
"MIX0020104";"001";"002";"MIXTINTER AMARILLO RYO 1/4";"04";"04";        7819.60000;        7819.60000;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"005";"";"";"";"";"/  /";"/  /";           7.50000;       58647.00000;        7819.60000;"04";
"P204";"004";"004";"NARANJA MOLIBDATO NS-38";"KG";"KG";        6319.02017;        6319.02017;"N";        7005.67200;        7005.67200;           1.00000;           0.00000;           0.00000;"004";"";"";"";"";"/  /";"/  /";          25.00000;      157975.50425;        6319.02017;"KG";
"PCA106BAALER2";"004";"006";"BARNIZ MARINO ALERCE 1/4";"GL";"04";       10253.73725;       10249.63862;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"";"";"";"01";"/  /";"/  /";         113.00000;      289668.07731;        2563.43431;"04";
"PCAESM915BL01";"004";"006";"ESMALTE AL AGUA OPACO BLANCO 915 GL.";"GL";"GL";        6166.32316;        6166.32316;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";          68.00000;      419309.97488;        6166.32316;"GL";
"PCAESM915BL01";"004";"017";"ESMALTE AL AGUA OPACO BLANCO 915 GL.";"GL";"GL";        6166.32316;        6166.32316;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";           1.00000;        6166.32316;        6166.32316;"GL";
"PCAESM915BL01";"007";"014";"ESMALTE AL AGUA OPACO BLANCO 915 GL.";"GL";"GL";        6166.32316;        6166.32316;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0001";"0002";"";"";"/  /";"/  /";           4.00000;       24665.29264;        6166.32316;"GL";
"PCA9127893006";"004";"006";"TEXTU EIFS G-10 OCRE 7893 BD 4 GALONES.";"GL";"BD";        4692.72794;        4692.72794;"";           0.00000;           0.00000;           0.00000;           0.00000;           0.00000;"003";"0004";"0004";"";"";"/  /";"/  /";           3.00000;       56312.73528;       18770.91176;"BD";
